@,di
kemenkes,Kementerian Kesehatan
kemenkeu,Kementerian Keuangan
Bangedh,Banget
kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
kemenong,kemana
kemenpera,Kementerian Perumahan Rakyat
kemenperin,Kementerian Perindustrian
kementrian,Kementerian
kemerdekan,kemerdekaan
kemis,kamis
kemonas,ke monas
kemulyaan,kemuliaan
kemulyan,kemuliaan
kemusium,ke museum
kenang2an,kenang-kenangan
kenang2ngan,kenang-kenangan
kenanganya,kenangannya
kenapah,kenapa
kenapasi,kenapa ya
kendaran,kendaraan
kendaranya,kendaraannya
kenderaan,kendaraan
keno,kena
kenp,kenapa
kenpa,kenapa
kenyatan,kenyataan
kenyatanya,kenyataannya
kepake,terpakai
kepalanye,kepalanya
kepangang,terpanggang
kepanggang,terpanggang
kepantai,ke pantai
kepantainya,ke pantainya
keparis,ke paris
kepasar,ke pasar
kepastianya,kepastiannya
kepencar,terpencar
kepencet,terpencet
kepengenya,keinginannya
kepengin,ingin
kepercayan,kepercayaan
kepercayanya,kepercayaannya
kepilih,terpilih
kepincut,terpincut
kepinteran,kepintaran
keponakanya,keponakannya
kepotong,terpotong
keprcayaan,kepercayaan
keprcayan,kepercayaan
kepribadianya,kepribadiannya
bangkotan,tua
kepulau,ke pulau
kepuncak,ke puncak
keputar,terputar
keputusanya,keputusannya
keragunan,ke ragunan
kerajan,kerajaan
keras2,keras-keras
kerasa,terasa
kerdus,kardus
kering2,kering-kering
keringet,keringat
kerj,kerja
kerjain,kerjakan
kerjan,pekerjaan
kerumah,ke rumah
kesabaranya,kesabarannya
kesalahane,kesalahannya
kesalon,ke salon
kesampeng,ke samping
kesane,kesannya
kesangkut,tersangkut
kesanya,kesannya
kesasar,tersasar
kesawah,ke sawah
kesayanganya,kesayangannya
kesederhanan,kesederhanaan
kesedian,kesediaan
kesedianya,kesediaannya
kesekolah,ke sekolah
keselip,terselip
kesetian,kesetiaan
kesetianmu,kesetiaanmu
kesetianya,kesetiaannya
banpol,bantuanpolisi
kesklh,ke sekolah
kesmpean,kesampaian
kesna,kesana
kesni,kesini
kesno,kesana
kesodara,ke saudara
kesokalh,ke sekolah
kesono,kesana
kesukan,kesukaan
ket,keterangan
ketabrak,tertabrak
ketagih,tertagih
ahhh,ah
ketawa,tertawa
ketawa2,ketawa-tawa
ketentuanya,ketentuannya
keterpurulanya,keterpurukannya
ketiban,tertimpa
ketidaknyamananya,ketidaknyamanannya
ketidung,ke tidung
ketike,ketika
ketimpa,tertimpa
ketingalan,ketinggalan
ketok,terlihat
ketoke,sepertinya
